,Austria,Belgium,Brazil,Canada,China (mainland),France,Germany,India,Indonesia,Iran,Italy,Japan,Malaysia,Mexico,Netherlands,Oman,Russia,Slovakia,South Korea,Taiwan,Turkey,Ukraine,United Kingdom,United States,Vietnam
Mexico,75501358.1146858,364177963.4087492,3499036547.0,601404725.7464172,2714626298.0,162429782.58533385,648258265.189697,236448265.93999243,90962863.75,0.0,462332426.8260499,6610938479.083009,18527089.58642578,0.0,655339649.4111433,0.0,9301182272.851604,1242301.1623535156,7256061253.0,1118519640.16951,70763511.18876362,441759767.2745325,59507326.55786136,16807678726.0,467068376.0
Netherlands,175644489.77415884,3541151690.253001,1829014457.0,106162098.75998022,127517365.23197453,544659615.5031732,4916648013.443054,404860196.37439096,2544384.231491089,10833101.767730713,104921097.1370393,29291954.474439144,155262471.30852884,2755685.4761505127,0.0,15172541.907348633,887765578.1240537,102852322.17994882,150929317.0,16686064.914138831,28811522.40357113,532060064.0331423,1048172314.0518728,85645829.0,4364984.36126709
Oman,29389.747589111328,2386258.1148223886,580760.0,495045.6831512452,450826032.0,235385.40478515625,10116604.985046389,550283904.1805656,82718.0,1939853371.15625,1358426.0145263672,44624774.49707031,17140452.144431114,0.0,29708.8649597168,0.0,109999798.42968751,0.0,182017224.0,434642.4035644531,25122336.736165047,70297391.16796875,11861.283203125,14749093.0,0.0
Russia,6069998.740426062,93922939.740036,7684878.0,99169.10205078124,622762721.5356842,50778765.42531179,488295298.1899415,24076355.31417846,27584.5498046875,684657.787109375,1527403.3326416,1841969.23632813,317874.654296875,243364.02001953125,71059536.49174084,156.300003051758,0.0,94196935.18272977,230598514.0,6564579.33340454,70633667.46719362,1694458231.4059572,1942009.0312500007,1620784.0,7780712.648437501
Slovakia,412498679.0363165,413179353.1175957,639741.0,2858.74609375,3796975.102012635,43265799.826477386,1514985402.080078,1564694.4921875,57498.58984375,3369769.100585937,305298375.28710675,223165.318359375,4414247.84375,496228.53125,52276504.61219314,0.0,73754877.87596561,0.0,45592398.0,1667587.3269042969,980158.5475006106,162081662.03943878,3381115.332321167,1812163.0,78023.55342817307
Turkey,164142225.11671343,894922464.5177706,2079912850.0,25321847.904320244,4105301727.310975,2061160859.23379,1773549397.698913,1081119476.0161734,211552020.8545056,584966820.0149308,796183023.7537844,852354942.7435306,437205507.1245898,1697871.1915256986,820096865.776338,325043006.50577176,20158472428.170677,311527075.4120396,3202613790.0,139061718.1329322,0.0,9426898160.177467,1692841650.109955,160725861.0,51679991.54101562
Ukraine,2657788.963199615,2217944.427497864,0.0,466854.4011230466,191303532.74258995,221757.7332763673,29630430.227539062,47988563.02494813,0.0,4400.52978515625,13035919.451782228,0.0,1974895.500488281,0.0,3556332.605339051,0.0,1004271849.4937464,228735300.07323653,21969738.0,2467340.8828125005,167067234.2778001,0.0,302099.4609375,1501359.0,1407629.3144168854
United Kingdom,170918972.7115641,1421099498.7026892,126088611.7423096,32544872.58459473,353040463.49978644,666769489.5244844,1875696236.5048137,322091714.57135016,0.0,39711600.50830079,457080639.3242399,89417096.59436041,6291548.731323242,166671.9228515625,1322278368.2873182,13561.873046875,446605315.8515627,19874019.748906177,466337977.0758057,149395647.8125,196686985.49438483,1173607753.138306,0.0,36554575.0,79824564.97044374
Austria,0.0,151801459.05864835,63855014.79803848,4854491.331585883,15352498.541054731,163184810.6358461,3759879001.687378,31499397.81972456,124409.7611618042,154589.2468109131,1559942270.400829,1185340.48445177,6429935.480941773,183451.58746337888,1162613077.9722877,117794.2421875,162271394.86993885,1736257440.2801275,22807954.127122883,2527535.436940194,72297053.73866037,110859654.32318498,41923257.19492947,404016441.0,550425.4398174286
Japan,0.0,153143.607421875,212110102.0,8382195.475341797,3771080279.838379,5462367.633117669,8038544.627319336,1503629216.2253416,94255102.1932373,0.0,2197138.7075195312,0.0,1169126228.3912358,138270.01171875,10167136.167476663,1830085.125,1593094145.8095703,2204863.259277344,11345369204.0,3108885590.9649663,3117890.977416998,61751664.38183594,227688.093017578,5624001.0,604400826.262085
Malaysia,0.0,2568901.3586235046,21095610.0,303767.0607910156,3285251771.055148,0.0,6563870.054931635,1167679605.178744,705189201.0028347,8439972.25,6576960.081054691,2817408469.510498,0.0,1217176.5291748047,780975.9925880432,91833942.02685548,18624064.859375,969.667999267578,2464443150.0,1373068161.139309,12584499.476003649,111621947.84561165,340339.333984375,2065186.0,1134342710.3698452
South Korea,0.0,8032008.0,1009531388.0,54640984.0,18514630763.0,0.0,1174608.0,831381399.0,1917451863.0,18741969.0,2912344.5820312505,12825081235.0,2210205174.0,174297963.0,1237647.0,44687499.0,2085995709.0,104473.0,0.0,1262491827.0,1364253.0,266630045.0,24764754.046569835,57262447.0,609623378.0
Taiwan,0.0,6863244.095336911,780756011.0,16658522.38231659,10486692387.819107,822635.2680969237,47911841.6793213,1514996621.5030055,1417129709.172989,207990165.2041016,11328970.770996094,9400766043.047115,899030862.348875,22214678.124633763,8102090.864364628,83111222.8515625,11651939303.302952,0.0,2058745783.0,0.0,92912960.56259108,137296082.2900391,1304914.9453125,12156060.0,1039083575.6677136
United States,0.0,596006152.0,27262094498.0,17476482403.0,2610268998.0,387456828.0,3764519079.0,1677260772.0,32528762.0,0.0,692431478.0,2507152701.0,558549007.0,11110378225.0,3631369099.0,1322400.0,16827021483.0,89254364.0,2708911918.0,999506818.0,800064590.0,4788903277.0,671023436.0,0.0,932555487.0
Vietnam,0.0,51351645.41029645,81243129.0,9077890.008472446,16331533056.0,122472.654296875,7147934.684204103,1287810259.7611268,221195754.53149417,40228142.0,8170639.163208009,4797498289.535767,590813147.9785348,2509256.0,4579402.772209168,0.0,176580556.1593628,0.0,3843441544.0,1462393746.9864583,1537354.2280015943,267029.2602539062,1961625.7229003904,90632935.0,0.0
